model,seed,fold,spearman,kendall,mae,rmse,r2,best
B9-technical-only,3,4,0.17204502814258915,0.1076923076923077,2.1227258465985797,2.5411129686251868,0.024336824833047332,"{""m__alpha"": 100}"
B9-technical-only,4,0,0.4052532833020638,0.2794871794871795,1.9400117729784974,2.3190385083960963,0.09141555919090949,"{""m__alpha"": 100}"
B9-technical-only,4,1,0.20694183864915575,0.13076923076923078,1.983227073589441,2.416975091242195,0.024560333759465314,"{""m__alpha"": 100}"
B9-technical-only,4,2,0.09549718574108819,0.05897435897435897,2.0777649825013866,2.5206368617652064,0.019476491564795917,"{""m__alpha"": 100}"
B9-technical-only,4,3,0.27767354596622895,0.19487179487179487,2.017608521051107,2.4260869930504727,0.08193907823445057,"{""m__alpha"": 10}"
B9-technical-only,4,4,0.20675422138836774,0.16410256410256413,2.027474481604752,2.320110672976461,0.0226745884981282,"{""m__alpha"": 100}"
Ridge,0,0,0.8157598499061914,0.6230769230769232,1.3219207005793299,1.5108246564575922,0.6283152281612234,"{""m__alpha"": 30}"
Ridge,0,1,0.8984990619136962,0.7102564102564103,0.9511735960449641,1.156713592039328,0.7530467888434118,"{""m__alpha"": 100}"
Ridge,0,2,0.8949343339587243,0.717948717948718,1.0149953552126196,1.2851273001926606,0.7349165873270564,"{""m__alpha"": 100}"
Ridge,0,3,0.8146341463414635,0.6076923076923076,1.3137226423765735,1.6064782017007544,0.6010671004977719,"{""m__alpha"": 30}"
Ridge,0,4,0.8176360225140713,0.6333333333333333,1.111571025932027,1.4242623991798173,0.6667412562955032,"{""m__alpha"": 30}"
Ridge,1,0,0.8632270168855536,0.6897435897435897,1.0713054139089941,1.3222708059022108,0.700710889646587,"{""m__alpha"": 100}"
Ridge,1,1,0.8474671669793623,0.6564102564102565,1.106996138870071,1.441449147142797,0.6560343766024661,"{""m__alpha"": 100}"
Ridge,1,2,0.854596622889306,0.6666666666666667,1.2314849589548995,1.4610346014688769,0.6770731233787803,"{""m__alpha"": 100}"
Ridge,1,3,0.8288930581613511,0.635897435897436,1.2545346563310784,1.598680370863724,0.5928218206096204,"{""m__alpha"": 100}"
