uni_id,member,region,country,name,url,final_url,http_status,page_lang,native_lang,switched_to_english,fetched_at,load_time_s,a01_logo,a02_primary_nav,a03_nav_item_count,a04_search_bar,a05_language_toggle,a06_breadcrumb,a07_qs_badge,a09_national_rank,a11_accreditation,a12_accred_count,a13_achievements,a14_stats_block,a15_stat_item_count,a16_notice_board,a17_notice_timestamp,a18_recent_notice_date,a20_news_events,a21_calendar_link,a22_admission_notice,a23_upcoming_events,a24_event_count,a25_event_images,a26_event_captions,a27_event_datetime,a28_contests,a29_video_content,a30_image_gallery,a31_social_feed_embed,a32_vision_mission,a33_about_blurb,a34_department_links,a35_faculty_link,a36_research_highlight,a37_programs_listing,a38_scholarship,a39_library_link,a40_career_link,a41_alumni_link,a42_faq_link,a43_contact_link,a44_student_portal,a45_prospectus,a46_admissions_policy,a47_footer_contact,a48_footer_sitemap,a49_copyright_line,a50_social_links,a51_quick_links,a53_contrast_ratio,a54_banner_carousel,a57_logo_prominence,a58_live_chat,a59_feedback_form,a60_trust_seal,a61_testimonials,a63_mobile_score,a65_https,a66_broken_links,a67_gzip,a69_title_meta,a70_favicon,a71_sitemap_robots,a72_alt_text_pct,a73_accessible_design,a74_a11y_toggle,a75_bookmark,notice_date_future,a18_missing,country_is_bucket,country_rank_eligible
3022,M3,Eastern & Southern Europe,Italy,Ca' Foscari University of Venice,https://www.unive.it,https://www.unive.it/web/en/497/home,200,en-us,it,True,2026-08-11T10:30:47+00:00,11.997,1,1,6,1,0,0,0,0,1,0,0,1,10,1,1,2026-10-01,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,15.43,1,1,0,0,1,0,85,1,0,1,1,1,0,43.6,1,0,0,1,0,0,1
3023,M3,Eastern & Southern Europe,Italy,University of Modena and Reggio Emilia,https://www.unimore.it,https://www.unimore.it/en,200,en,it,True,2026-08-11T10:30:58+00:00,5.984,1,1,8,1,1,0,0,0,1,1,1,1,3,1,1,2026-10-19,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1.3,1,1,0,0,0,0,75,1,0,1,0,1,0,87.9,1,1,0,1,0,0,1
3024,M3,Eastern & Southern Europe,Italy,University of Parma,https://www.unipr.it,https://www.unipr.it/en,200,en,it,True,2026-08-11T10:31:07+00:00,3.725,1,1,4,1,1,0,0,0,0,0,0,1,10,1,1,2026-09-08,1,1,1,1,20,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,17.4,1,1,1,0,1,0,100,1,0,1,1,1,1,43.4,1,1,0,1,0,0,1
3027,M3,Eastern & Southern Europe,Italy,University of Trieste,https://www.units.it,https://portale.units.it/en,200,en,it,True,2026-08-11T10:31:42+00:00,13.434,1,1,7,1,1,0,0,0,0,0,0,1,6,1,1,2026-09-09,1,1,1,1,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1.3,1,1,0,0,0,0,100,1,0,1,1,1,0,96.4,1,1,0,1,0,0,1
3028,M3,Eastern & Southern Europe,Italy,University of Salerno,https://www.unisa.it,https://web.unisa.it/en/university,200,en,it,True,2026-08-11T10:32:11+00:00,14.83,1,1,20,1,1,1,0,0,1,0,0,0,0,0,0,,1,0,0,0,2,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1.01,1,1,0,0,0,0,75,1,0,1,0,1,0,100.0,1,1,0,0,1,0,1
3029,M3,Eastern & Southern Europe,Italy,Roma Tre University,https://www.uniroma3.it,https://www.uniroma3.it/en/,200,en-us,it-it,True,2026-08-11T10:32:22+00:00,6.034,1,1,10,1,1,0,0,0,1,0,0,0,0,1,1,2026-09-15,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,21.0,1,1,0,0,0,0,75,1,0,1,0,1,0,60.0,1,1,0,1,0,0,1
3030,M3,Eastern & Southern Europe,Italy,University of Calabria,https://www.unical.it,https://www.unical.it/,200,it,it,False,2026-08-11T10:32:29+00:00,3.938,1,1,7,1,0,0,0,0,0,0,1,0,0,0,1,2026-08-11,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,17.4,1,0,0,0,0,0,100,1,7,1,1,1,0,100.0,1,0,0,0,0,0,1
3032,M3,Eastern & Southern Europe,Italy,University of Ferrara,https://www.unife.it,https://corsi.unife.it/en/lm-greeneconomy,200,en,it,True,2026-08-11T10:33:02+00:00,8.61,1,1,5,1,0,1,0,0,0,0,0,0,0,0,1,2025-09-02,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,16.88,1,1,0,0,0,0,75,1,1,1,0,1,1,50.0,1,1,0,0,0,0,1
3033,M3,Eastern & Southern Europe,Italy,University of Cagliari,https://www.unica.it,https://www.unica.it/eng,200,en,it,True,2026-08-11T10:33:24+00:00,16.49,1,1,4,0,1,0,0,0,0,0,0,1,5,0,1,2026-08-28,1,0,1,0,5,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1.3,1,1,0,0,0,0,75,1,0,1,0,1,0,100.0,1,0,0,1,0,0,1
3034,M3,Eastern & Southern Europe,Italy,University of Messina,https://www.unime.it,https://international.unime.it/,200,en,it,True,2026-08-11T10:33:40+00:00,5.656,1,1,6,1,0,0,0,1,1,1,0,0,0,0,1,2026-08-21,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,15.43,1,1,0,0,0,0,100,1,0,1,0,1,0,100.0,1,0,0,1,0,0,1
