uni_id,name,url,country,region,a01_logo,a02_primary_nav,a03_nav_item_count,a04_search_bar,a05_language_toggle,a06_breadcrumb,a07_qs_badge,a09_national_rank,a11_accreditation,a12_accred_count,a13_achievements,a14_stats_block,a15_stat_item_count,a16_notice_board,a17_notice_timestamp,a20_news_events,a21_calendar_link,a22_admission_notice,a23_upcoming_events,a24_event_count,a25_event_images,a26_event_captions,a27_event_datetime,a28_contests,a29_video_content,a30_image_gallery,a31_social_feed_embed,a32_vision_mission,a33_about_blurb,a34_department_links,a35_faculty_link,a36_research_highlight,a37_programs_listing,a38_scholarship,a39_library_link,a40_career_link,a41_alumni_link,a42_faq_link,a43_contact_link,a44_student_portal,a45_prospectus,a46_admissions_policy,a47_footer_contact,a48_footer_sitemap,a49_copyright_line,a50_social_links,a51_quick_links,a53_contrast_ratio,a53_contrast_ratio_was_missing,a54_banner_carousel,a57_logo_prominence,a58_live_chat,a59_feedback_form,a60_trust_seal,a61_testimonials,a63_mobile_score,a65_https,a66_broken_links,a67_gzip,a69_title_meta,a70_favicon,a71_sitemap_robots,a72_alt_text_pct,a72_alt_text_pct_was_missing,a73_accessible_design,a74_a11y_toggle,a75_bookmark,broken_links_log,load_time_z_region,notice_recency_days,notice_recency_days_was_missing,website_score,grade
2019,Queen Mary University of London,https://www.qmul.ac.uk,United Kingdom,Western & Northern Europe,1,1,6,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,6,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,10.6,0,1,1,0,0,0,1,90,1,0,1,1,1,1,47.6,0,1,1,0,0.0,-0.7377945658090017,0.0,0,87.38,A+
5094,North South University,https://www.northsouth.edu,Bangladesh,South & Central Asia + Oceania,1,1,10,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,20,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,4.61,0,1,0,0,0,0,0,75,1,0,1,1,1,1,87.3,0,1,0,0,0.0,-0.3848253041321887,0.0,0,87.36,A+
6125,American University in Cairo,https://www.aucegypt.edu,Egypt & North Africa,Latin America & Africa,1,1,9,1,1,0,0,0,1,1,1,1,3,0,1,1,1,1,1,13,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,12.52,0,1,1,0,0,0,0,75,1,0,1,1,1,1,82.9,0,1,0,0,0.0,-0.610745388262262,7.0,0,87.29,A+
5308,KIIT University,https://www.kiit.ac.in,India,South & Central Asia + Oceania,1,1,14,1,0,0,1,1,1,2,1,1,10,1,1,1,1,1,1,9,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,9.74,0,1,0,0,0,0,1,90,1,5,1,1,1,1,82.6,0,1,0,0,1.791759469228055,-0.9394831125617098,0.0,0,87.25,A+
3024,University of Parma,https://www.unipr.it,Italy,Eastern & Southern Europe,1,1,4,1,1,0,0,0,0,0,0,1,10,1,1,1,1,1,1,20,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,17.4,0,1,1,1,0,1,0,100,1,0,1,1,1,1,43.4,0,1,1,0,0.0,-1.4768744559964342,0.0,0,87.16,A+
5424,Vidyasagar University,https://www.vidyasagar.ac.in,India,South & Central Asia + Oceania,1,1,9,0,0,0,0,1,1,1,1,1,8,1,1,1,1,1,1,11,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,12.0,0,1,1,0,0,0,1,75,1,0,1,1,1,0,96.1,0,1,1,0,0.0,-0.8140170395620825,0.0,0,87.06,A+
6328,University of Fort Hare,https://www.ufh.ac.za,South Africa,Latin America & Africa,1,1,4,1,0,0,0,0,1,1,1,1,8,1,1,1,1,1,1,8,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,12.63,0,1,1,0,0,0,0,90,1,0,1,1,1,1,65.0,0,1,1,0,0.0,-1.3454939883051737,0.0,0,87.06,A+
1054,University of Colorado Boulder,https://www.colorado.edu,United States,North America,1,1,6,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,20,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,18.88,0,1,0,0,0,0,1,90,1,0,1,0,1,0,92.3,0,1,1,0,0.0,-0.7230380484344183,0.0,0,86.93,A+
1093,University of Houston,https://www.uh.edu,United States,North America,1,1,4,1,0,0,0,1,0,1,1,1,10,1,1,1,1,1,1,7,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,18.88,0,1,1,0,0,0,0,75,1,0,1,1,0,1,77.8,0,1,1,0,0.0,1.1482698481674858,0.0,0,86.79,A+
5143,Australian Catholic University,https://www.acu.edu.au,Australia,South & Central Asia + Oceania,1,1,7,1,0,0,0,1,0,0,0,1,10,0,1,1,0,1,1,11,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,4.86,0,1,1,1,0,1,1,75,1,0,1,1,1,1,64.4,0,1,1,0,0.0,0.18058673912587173,0.0,0,86.79,A+
2061,University of Stuttgart,https://www.uni-stuttgart.de,Germany,Western & Northern Europe,1,1,3,1,1,0,0,1,0,0,1,1,9,1,1,1,1,1,1,4,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,12.63,0,1,1,0,0,1,0,90,1,0,0,1,1,0,67.6,0,1,1,0,0.0,-0.3869090298731792,0.0,0,86.78,A+
1059,Texas A&M University,https://www.tamu.edu,United States,North America,1,1,3,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,12,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,21.0,0,1,1,0,0,0,1,75,1,0,1,1,1,1,100.0,0,1,1,0,0.0,-0.18648458311847335,0.0,0,86.67,A+
5136,Murdoch University,https://www.murdoch.edu.au,Australia,South & Central Asia + Oceania,1,1,4,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,21.0,0,1,1,1,0,0,0,75,1,0,1,1,0,1,88.5,0,1,0,0,0.0,0.15516763862205105,4.0,0,86.58,A+
5319,Institute of Business Administration Karachi,https://www.iba.edu.pk,Pakistan,South & Central Asia + Oceania,1,1,5,1,0,0,0,0,1,1,1,1,6,0,1,1,1,1,1,6,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,5.74,0,1,0,0,0,1,0,75,1,0,1,1,0,0,88.9,0,1,0,0,0.0,-0.7283090468376618,14.0,0,86.53,A+
